ID,line,fit,viatech,viano,pins,layno,sq,dens,dbl,netno,comp,category,ver,complexity,scope,type,duration,level
234420,src,mlb,cor_stk,28846,3751,6,145.77,0.544,dbl,604,1274,RG,R2,Medium,MOD-MAJOR,FF,44,5
153486,src,mlb,cor_stk,28660,3716,6,145.78,0.549,dbl,619,1261,RG,B1,Medium,MOD-MINOR,FF,50,5
264644,krl,mlb,cor_stk,4330,1395,6,54.96,0.552,dbl,264,505,RG,E0,Medium,MOD-MINOR,FF,28,5
175035,brz,mlb,cor-astk,18113,3073,6,121.66,0.554,dbl,468,1032,RG,B0,High,NEW BRD,FF,99,5
182866,src,mlb,cor_stk,28470,3672,6,145.77,0.556,dbl,599,1239,RG,R2,Low,MOD-MINOR,FF,46,5
207455,src,mlb,cor_stk,27537,3672,6,145.77,0.556,dbl,600,1238,RG,DE,Low,MOD-MINOR,PLT,62,5
153456,src,mlb,cor_stk,28095,3648,6,145.78,0.559,dbl,595,1230,RG,B1,Medium,MOD-MAJOR,FF,26,5
264631,brz,mlb,cor-astk,19627,3086,6,123.14,0.559,dbl,465,1035,RG,B1,Medium,MOD-MINOR,FF,125,5
153485,src,mlb,cor_stk,28769,3644,6,145.78,0.560,dbl,595,1230,RG,B1,Low,MOD-MINOR,FF,31,5
164726,krl,mlb,cor_stk,5663,1411,6,56.55,0.561,dbl,275,486,RG,B0,Medium,NEW BRD,FF,22,5
200185,krl,mlb,cor_stk,4250,1352,6,54.96,0.569,dbl,258,485,RG,R2,Medium,MOD-MINOR,FF,57,5
135914,src,mlb,cor_stk,25613,3589,6,145.77,0.569,dbl,589,1207,RG,B0,High,MOD-MAJOR,FF,75,5
46403,lcy,sns,tht,92,54,2,2.19,0.569,dbl,11,22,RG,M00,Low,NEW BRD,FF,92,5
260363,vns,db,tht,571,393,4,16.13,0.575,dbl,47,128,RG,D0,Medium,MOD-MINOR,FF,6,5
266432,vns,db,tht,571,393,4,16.13,0.575,dbl,47,128,RG,S1,Low,MOD-MINOR,FF,12,5
200179,vns,db,tht,571,393,4,16.13,0.575,dbl,47,128,RG,E0,Medium,MOD-MINOR,FF,43,5
147093,vns,db,tht,581,393,4,16.13,0.575,dbl,47,128,RG,R2,Medium,MOD-MINOR,FF,44,5
101984,src,mlb,cor_stk,25199,3443,6,146.01,0.59,dbl,561,1147,RG,B0,High,NEW BRD,FF,89,5
182863,npc,mlb,cor-astk,19782,6124,8,260.29,0.595,dbl,1198,1176,RG,B0,High,NEW BRD,PLT,108,3
181723,npd,bp,cor-astk,19782,6124,8,260.29,0.595,dbl,1198,1176,RG,M00,Medium,NEW BRD,PLT,127,5
234408,ced,db,tht,114,72,2,3.07,0.596,dbl,10,30,RG,B0,Low,MOD-MAJOR,FF,118,5
133761,gq,db,cor-astk,1159,423,4,18.04,0.597,dbl,60,130,RG,D0,Low,MOD-MINOR,FF,32,5
52947,gq,sns,tht,89,123,4,5.29,0.602,dbl,25,52,RG,D0,Low,MOD-MAJOR,FF,39,5
309758,tgr,mlb,cor-astk,107793,6962,12,306.83,0.617,dbl,1252,1857,RG,E2,High,MOD-MAJOR,FF,29,5
254360,npc,mlb,astk,60403,5993,12,265.11,0.619,dbl,1040,1097,RG,M00,High,NEW BRD,PLT,86,5
229820,bis,bp,tht,987,1409,6,63.11,0.62,dbl,212,466,RG,B1,High,MOD-MINOR,FF,56,5
267161,bis,bp,tht,987,1409,6,63.11,0.62,dbl,212,466,RG,R2,High,MOD-MINOR,FF,101,5
131314,brl,mlb,tht,1892,2241,8,99.7,0.623,dbl,389,601,RG,B0,High,NEW BRD,PLT,10,4
263852,sqa,db,cor_stk,1426,263,4,11.91,0.634,dbl,35,89,RG,B0,Medium,NEW BRD,FF,114,5
131425,npc,mlb,cor-astk,14335,5740,8,260.29,0.635,dbl,1081,1126,RG,B0,High,NEW BRD,PLT,98,5
145276,ctr,db,tht,81,128,4,5.89,0.644,dbl,34,41,RG,B0,Medium,NEW BRD,FF,43,5
48503,sper,db,cor_stk,899,538,6,24.78,0.645,dbl,71,220,RG,B1,Low,NEW BRD,FF,19,4
